x,y,z,V,Ex,Ey,Ez,E_mag
-0.150000,-0.110000,-0.080000,4.37140179e-02,-1.60405424e-01,-1.17174198e-01,-9.29861786e-02,2.19331079e-01
-0.150000,-0.110000,-0.070000,4.46156825e-02,-1.71012843e-01,-1.24860419e-01,-8.70656495e-02,2.28945286e-01
-0.150000,-0.110000,-0.060000,4.54495076e-02,-1.81309130e-01,-1.32310663e-01,-7.94001939e-02,2.38082975e-01
-0.150000,-0.110000,-0.050000,4.61976185e-02,-1.90966280e-01,-1.39288652e-01,-6.99173779e-02,2.46491153e-01
-0.150000,-0.110000,-0.040000,4.68418419e-02,-1.99615819e-01,-1.45530270e-01,-5.86344207e-02,2.53896691e-01
-0.150000,-0.110000,-0.030000,4.73647284e-02,-2.06873058e-01,-1.50760980e-01,-4.56822544e-02,2.60023467e-01
-0.150000,-0.110000,-0.020000,4.77507715e-02,-2.12372155e-01,-1.54720649e-01,-3.13196888e-02,2.64615446e-01
-0.150000,-0.110000,-0.010000,4.79876891e-02,-2.15807991e-01,-1.57192942e-01,-1.59306371e-02,2.67463072e-01
-0.150000,-0.110000,0.000000,1.92270290e-01,-8.67908467e-01,-6.32135588e-01,-7.21013587e+04,7.21013587e+04
-0.150000,-0.110000,0.010000,1.91950756e-01,-8.63231964e-01,-6.28771767e-01,6.37225486e-02,1.06985229e+00
-0.150000,-0.110000,0.020000,1.91003086e-01,-8.49488622e-01,-6.18882594e-01,1.25278755e-01,1.05846178e+00
-0.150000,-0.110000,0.030000,1.89458914e-01,-8.27492232e-01,-6.03043919e-01,1.82729018e-01,1.04009387e+00
-0.150000,-0.110000,0.040000,1.87367368e-01,-7.98463275e-01,-5.82121080e-01,2.34537683e-01,1.01558677e+00
-0.150000,-0.110000,0.050000,1.84790474e-01,-7.63865122e-01,-5.57154608e-01,2.79669512e-01,9.85964613e-01
-0.150000,-0.110000,0.060000,1.81798030e-01,-7.25236519e-01,-5.29242652e-01,3.17600775e-01,9.52331899e-01
